Library Order,Name,ID,Group,Version,Author,Class name,Pack,Render,Mode,Slider
1,The Abbyss,2,1,version 2.1,Andreas Gysin,Abbyss,Base,P3D,Box Fish/Cubus/Floater/Radio/Worm/Sea Fly/Breather/Spider/Manta/Father/Super Nova,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness"
2,Arbre,6,1,Version 1.3,Stan le Punk,ArbreRomanesco,Base,classic,Line/Disc/Disc line/Rectangle/Rectangle line/Box,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Quantity,Speed,Direction,Amplitude"
3,Atome,3,1,version 1.3,Stan le Punk,Atome,Base,P3D,Chemical Name/File text/Electronic cloud/Ellipse circle/Ellipse triangle/Ellipse cloud/Triangle circle/Triangle triangle/Triangle cloud/Rectangle rectangle/Rectangle cloud,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Canvas X,Canvas Y,Speed,Direction,Family,Quantity,Amplitude,Angle"
4,Balise,8,1,Version 1.2,Stan le Punk,BaliseRomanesco,Base,P3D,Disc/Rectangle/Box/Box Snake,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Quantity,Speed,Amplitude,Repulsion"
5,Boids,19,2,Version 1.0,Too much people,Boids,Base,classic,,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Canvas X,Canvas Y,Canvas Z,Quantity,Attraction,Repulsion,Influence,Alignment,Width,Speed"
6,Boxolyzer,13,2,Version 1.0,My name is Nobody,Boxolyzer,Base,P3D,Classic/Circle,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Canvas X,Quantity,Direction"
7,Damier,11,2,Version 1.1,Stan le Punk,Damier,Base,classic,Rectangle/Ellipse/Box,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Quantity,Speed,Amplitude"
8,Image,16,2,version 1.4,Stan le Punk,Escargot,Base,P3D,Original/Raw/Point/Ellipse/Rectangle/Box/Cross/SVG/Vitraux,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Speed,Direction,Amplitude,Analyze,Quantity,Repulsion"
9,Galaxie,15,2,Version 1.2,Stan le Punk,Galaxie,Base,classic,Point/Ellipse/Rectangle,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Canvas X,Canvas Y,Quantity,Speed,Repulsion"
10,Nid d'abeilles,17,2,Version 0.1,Amnon Owed,Honeycomb,Base,P3D,,"Saturation fill,Brightness fill,Alpha fill,Thickness,Width,Canvas X,Canvas Y"
11,Horloge,21,3,Version 2.0,Stan Le Punk,Horloge,Base,classic,Ellipse Clock 12/Ellipse Clock 24/Line Clock 12/Line Clock 24/minutes/secondes,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Width,Direction,Amplitude"
12,Karaoke,23,3,Version 2.0,Stan LePunk,Karaoke,Base,classic,,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Width,Canvas X,Canvas Y,Direction"
13,Kofosphere,18,2,Version 1.0,Kof,Kofosphere,Base,P3D,Point color/Point mono/Pox color/Box mono,"Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Hue fill,Saturation fill,Brightness fill,Alpha fill,Thickness,Width,Height,Depth,Canvas X,Quantity,Speed"
14,Les anciens,1,1,Version 2.1,Stan le Punk,LesVieux,Base,classic,Courbe/Triangle bug,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Canvas X,Speed,Amplitude,Alignment"
15,Letter,20,3,Version 1.2,Stan le Punk,Letter,Base,P3D,Point/Line/Triangle,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Canvas X,Canvas Y,Canvas Z,Quantity,Speed"
16,Lignes,10,2,Version 1.1,Stan le Punk,Lignes,Base,classic,,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Thickness,Quantity,Speed,Direction"
17,Rubis,9,1,version 1.0,Stan le Punk,MesAmis,Base,P3D,,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Canvas X,Speed,Quantity,Amplitude"
18,RSS,22,3,version 1.1,Stan Le Punk,RSS,Base,classic,,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Width,Canvas X,Canvas Y,Canvas Z,Direction"
19,Rideau,12,2,Version 2.0,Stan le Punk,Rideau,Base,classic,Rectangle/Box,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Canvas X,Direction,Life"
20,Soleil,7,1,Version 1.0,Stan le Punk,Soleil,Base,P3D,Beam/Lie'Bro'One/Lie'Bro'Two/Lie'Bro Noisy,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Canvas X,Quantity,Speed,Angle,Amplitude"
21,Spirale,5,1,Version 1.3,Stan le Punk,SpiraleRomanesco,Base,P3D,Rectangle/Ellipse/Box,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Hue stroke,Saturation stroke,Brightness stroke,Alpha stroke,Thickness,Width,Height,Depth,Quantity,Speed,Canvas X,Canvas Y,Canvas Z"
22,Stars Spray,4,1,version 1.1,Stan le Punk,Spray,Base,P3D,Star/Spray,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Thickness,Width,Height,Canvas X,Canvas Y,Quantity,Speed,Angle,Life,Repulsion"
23,Webcam,14,2,Version 1.2,Stan le Punk,Webcam,Base,P3D,Rectangle color/Rectangle mono/Point color/Point mono/Box color/Box mono,"Hue fill,Saturation fill,Brightness fill,Alpha fill,Width,Height,Depth,Canvas X,Canvas Y"
